_id,telkinio_pav,m_vietos_pav,data,vandens_temp,suspend_medziagos,sarmingumas,deguon_istirpes,ph,elektr_laidis
b4cce721-148e-405c-ab2f-541119b76157,NERIS,Neris aukščiau Kauno,2019-11-05,8.8,5.0,4.2,11.8,8.4,483.0
2a3f9acd-33e2-492a-9a3e-468b102739eb,NERIS,Neris ties Buivydžiais,2019-12-02,0.6,3.1,3.5,13.35,7.57,404.0
c22aaa5c-c7a6-4be1-af86-85a044118b1f,NERIS,Neris aukščiau Panerių,2019-12-02,1.7,4.6,3.6,13.12,7.81,420.0
336aae02-c2d9-44f7-ae29-916b024e42e2,NERIS,Neris aukščiau Kauno,2019-12-03,1.8,6.2,4.2,14.8,8.5,486.0
485de233-0707-4f97-b2ef-e4a5f994d9ef,NERIS,Neris ties Buivydžiais,2020-01-06,0.7,4.3,4.6,13.11,7.23,433.0
9eba6f78-0fd6-4426-83c1-f481813aa1bd,NERIS,Neris aukščiau Panerių,2020-01-06,0.7,7.0,3.4,13.23,7.34,441.0
82178202-f555-44d6-b827-dc73ee34df60,NERIS,Neris aukščiau Kauno,2020-01-07,1.3,7.7,4.4,14.0,8.6,487.0
49578a5d-da7a-49d4-b116-b8adbcc08261,NERIS,Neris aukščiau Panerių,2020-02-03,4.1,2.0,3.7,12.49,7.95,423.0
d5fcf65f-d963-48a2-8150-14741414dc03,NERIS,Neris ties Buivydžiais,2020-02-03,3.0,4.1,3.5,12.35,8.09,418.0
bd66be0d-d356-4ba5-8975-71218724dbef,NERIS,Neris aukščiau Kauno,2020-02-04,3.5,9.3,4.1,14.0,8.6,482.0
6736c593-1c77-48fb-9816-4a9a0d4cfa3d,NERIS,Neris žemiau santakos su Žiežmara,2020-02-13,2.9,8.5,3.6,10.8,8.6,444.0
15a5d028-6859-493e-92c7-1c59c352bbd8,NERIS,Neris aukščiau Panerių,2020-03-02,3.3,3.3,3.0,11.79,8.49,419.0
434463d1-6944-45dd-9934-76b14f0d3afe,NERIS,Neris ties Buivydžiais,2020-03-02,4.3,3.1,3.7,12.19,7.89,421.0
9b4a09b9-ae8f-4acb-b52b-8c61963a5dca,NERIS,Neris aukščiau Kauno,2020-03-03,4.6,6.0,4.2,13.2,8.2,475.0
274d96a2-6a01-452d-8fe2-7746fa84c85f,NERIS,Neris žemiau santakos su Žiežmara,2020-03-30,4.7,6.0,3.7,13.8,8.5,420.0
bc7299a2-622b-47dc-855e-c21809e80d05,NERIS,Neris aukščiau Panerių,2020-04-06,6.6,3.5,3.5,12.83,8.79,417.0
28a9cfa3-81c2-4672-ac59-a17091f37923,NERIS,Neris ties Buivydžiais,2020-04-06,6.0,3.5,3.4,12.59,8.56,408.0
99258982-81f8-42b1-8eb8-1011349d7992,NERIS,Neris aukščiau Kauno,2020-04-07,7.8,4.4,4.2,14.5,8.4,461.0
9ff6ea6f-386f-4dfa-be28-9660683801fe,NERIS,Neris aukščiau Panerių,2020-05-04,12.84,15.0,3.2,12.84,8.47,395.0
80a2419f-db0f-4c62-90ec-7008fe3ce831,NERIS,Neris ties Buivydžiais,2020-05-04,11.8,15.0,3.3,9.96,8.23,409.0
4002dada-e3b7-4749-8f8a-4057ee032734,NERIS,Neris aukščiau Kauno,2020-05-05,14.0,12.0,4.1,9.8,8.9,464.0
48e4a3e7-c1e1-449b-bbc9-ea97a14575a8,NERIS,Neris ties Buivydžiais,2020-06-01,15.2,9.7,3.5,9.95,8.48,420.0
